member_id;member_name;registration_time;email;date_of_birth
2015060316;Elvis Bennett;2015.06.03 16:22;egestas.Aliquam@AliquamnislNulla.co.uk;11/03/1966
201212245:;Vaughan Cooley;2012.12.24 5:35;dictum.augue@pretium.ca;10/01/1965
201707217:;Rinah Mcgee;2017.07.21 7:15;Donec.est@idantedictum.com;10/17/1987
2019120413;Xantha Rosa;2019.12.04 13:31;posuere.at@CuraePhasellus.com;03/30/1982
2019033023;Sawyer Giles;2019.03.30 23:11;Donec.vitae.erat@venenatislacus.ca;08/31/1984
201207183:;Bradley Garner;2012.07.18 3:39;Quisque.varius.Nam@ut.ca;05/03/1960
2018071016;Rosalyn Conway;2018.07.10 16:37;arcu.Sed@lorem.org;04/03/1995
201710264:;Moses Howell;2017.10.26 4:38;sed@id.ca;08/05/1987
201804226:;Davis Jefferson;2018.04.22 6:17;a.malesuada@tempus.net;01/21/2001
2016040611;Francis Rhodes;2016.04.06 11:10;Sed.congue.elit@luctussitamet.co.uk;01/05/1980
2016032013;Reese Ross;2016.03.20 13:19;Phasellus.dapibus@nulla.ca;12/23/1988
201206163:;Dillon Gardner;2012.06.16 3:12;Nulla@semperpretiumneque.com;09/22/2005
201303285:;Tatiana Mooney;2013.03.28 5:28;eu.turpis@adlitora.co.uk;02/10/1997
2013012515;Henry Johnson;2013.01.25 15:16;Maecenas.ornare@lacus.edu;06/22/1998
201509199:;Barclay Cash;2015.09.19 9:27;Lorem.ipsum.dolor@sed.org;02/04/1974
201410286:;Patricia Witt;2014.10.28 6:56;enim.commodo@cursusvestibulum.edu;09/26/1958
201703128:;Andrew Kent;2017.03.12 8:59;a@elitelitfermentum.edu;12/12/1981
201205182:;Deacon Obrien;2012.05.18 2:58;ac.sem.ut@dolorsit.co.uk;06/11/1980
2012111618;Harlan Aguirre;2012.11.16 18:31;elit.Nulla@etmagnis.ca;11/07/2000
201602279:;Ira Boyle;2016.02.27 9:24;eleifend.egestas@Cum.co.uk;04/10/2001
2015073018;Alexis Giles;2015.07.30 18:07;convallis@mollisnec.ca;09/18/1970
2016010717;Lucian Brewer;2016.01.07 17:03;Vivamus@magnisdis.net;02/25/1994
2012060710;Caesar Preston;2012.06.07 10:32;Vestibulum@risusNulla.ca;09/14/1971
201407048:;Kyla Campbell;2014.07.04 8:25;adipiscing.elit@nullaDonec.org;01/21/1963
